FIPS,POP,SUM,RATE
19191,20709,21,101.41
19193,102782,208,202.37
19195,7569,33,435.99
19197,12773,25,195.73
20001,12717,65,511.13
20003,7808,39,499.49
20007,4823,25,518.35
20009,27103,89,328.38
20011,14712,43,292.28
20013,9776,21,214.81
20015,66741,350,524.42
20025,2096,17,811.07
20027,8347,7,83.86
20035,35788,155,433.11
20037,39217,179,456.43
20041,19303,129,668.29
20043,7797,9,115.43
20047,2968,15,505.39
20051,29029,46,158.46
20053,6343,55,867.1
20055,37118,163,439.14
20057,34536,72,208.48
20059,25609,207,808.31
20061,37030,47,126.92
20063,2640,11,416.67
20067,7733,15,193.97
20069,6133,46,750.04
20073,6244,97,1553.49
20075,2474,30,1212.61
20079,35073,35,99.79
20081,4064,22,541.34
20085,13338,137,1027.14
20087,18930,257,1357.63
20089,2970,18,606.06
20091,580159,270,46.54
20093,3956,86,2173.91
20095,7687,33,429.3
20097,2564,21,819.03
20099,20803,61,293.23
20107,9536,99,1038.17
20109,2825,11,389.38
20111,33339,74,221.96
20113,28941,51,176.22
20115,12103,49,404.86
20123,6282,31,493.47
20125,33314,27,81.05
20127,5645,28,496.01
20131,10227,56,547.57
20133,16346,38,232.47
20135,3005,26,865.22
20139,15847,14,88.34
20141,3683,27,733.1
20147,5428,10,184.23
20149,23298,204,875.61
20151,9691,25,257.97
20155,63718,210,329.58
20159,9977,32,320.74
20161,75247,263,349.52
20163,5174,19,367.22
20165,3130,42,1341.85
20167,7039,45,639.3
20173,511574,299,58.45
20175,23152,23,99.34
20177,178725,1045,584.7
20191,23535,168,713.83
20193,7904,23,290.99
20197,6951,91,1309.16
20201,5598,8,142.91
20203,2157,9,417.25
20205,8856,57,643.63
20207,3115,20,642.05
20209,163369,113,69.17
21001,19027,6,31.53
21003,20640,94,455.43
21005,21979,17,77.35
21007,8212,71,864.59
21009,43570,114,261.65
21011,12228,37,302.58
21013,27337,155,567
21015,127712,883,691.4
21017,20116,58,288.33
21019,48325,201,415.93
21021,29809,40,134.19
21023,8321,52,624.92
21025,13484,12,88.99
21027,20018,47,234.79
21029,78702,367,466.32
21031,12938,34,262.79
21033,12681,24,189.26
21035,38343,204,532.04
21037,92066,154,167.27
21039,4874,21,430.86
21041,10699,59,551.45
21043,27158,63,231.98
21045,15808,45,284.67
21047,73309,276,376.49
21049,35757,148,413.9
21051,21013,99,471.14
21053,10174,15,147.43
21055,9183,25,272.24
21057,6759,10,147.95
21059,99259,394,396.94
21061,12007,31,258.18
